type,value,status
MUST,dcat:Distribution dcat:accessURL,used
MUST,skos:Concept skos:prefLabel,used
MUST,adms:Identifier skos:notation,unused
MUST,dcat:Dataset dct:description,unused
MUST,dcat:Dataset dct:identifier,unused
MUST,dcat:Dataset dct:title,unused
MUST,dcat:DatasetSeries dct:description,unused
MUST,dcat:DatasetSeries dct:title,unused
MUST,dcat:Relationship dcat:qualifiedRelation,unused
MUST,foaf:Agent foaf:name,unused
